"time","flam.left","flam.mid","flam.right","label"
2021-06-23 12:06:57,61.02,71.13,82.86,"RE07_1002"
2021-07-17 10:03:38,155.77,145.33,NA,"RE07_1002"
2021-07-17 10:11:21,143.99,145,NA,"RE07_1002"
2021-07-17 10:19:29,159.15,125.94,NA,"RE07_1002"
2021-07-17 10:25:19,145.67,117.97,NA,"RE07_1002"
2021-07-17 10:27:17,124.61,107.41,NA,"RE07_1002"
2021-07-17 10:39:01,129.6,106.42,NA,"RE07_1002"
2021-07-17 10:44:54,127.27,94.29,NA,"RE07_1002"
2021-07-17 10:50:44,122.28,102.81,NA,"RE07_1002"
2021-07-17 11:43:46,144.66,120.62,NA,"RE07_1002"
2021-07-17 11:51:44,145,119.63,NA,"RE07_1002"
2021-07-17 11:57:37,148.02,115.66,NA,"RE07_1002"
2021-07-17 12:05:40,121.29,101.82,NA,"RE07_1002"
2021-07-17 12:11:20,144.33,117.31,NA,"RE07_1002"
2021-07-17 12:21:02,121.62,104.45,NA,"RE07_1002"
2021-07-18 09:54:48,127.27,114.33,146.01,"RE07_1002"
2021-07-18 10:00:35,136.95,134.27,147.01,"RE07_1002"
2021-07-18 10:02:33,105.43,111.03,113.34,"RE07_1002"
2021-07-18 10:14:22,122.61,120.62,118.63,"RE07_1002"
2021-07-18 10:20:33,117.31,103.46,141.3,"RE07_1002"
2021-07-18 10:26:08,115.33,132.94,134.61,"RE07_1002"
2021-07-18 10:34:23,116.65,122.61,138.29,"RE07_1002"
2021-07-18 11:19:17,145,161.52,136.61,"RE07_1002"
2021-07-18 11:21:15,117.31,128.6,147.35,"RE07_1002"
2021-07-18 11:27:23,111.36,139.29,105.11,"RE07_1002"
2021-07-18 11:29:21,310.25,376.66,182.19,"RE07_1002"
2021-07-18 11:37:08,124.27,139.29,122.28,"RE07_1002"
2021-07-18 11:43:10,113.67,137.28,111.03,"RE07_1002"
2021-07-18 11:50:46,115.66,112.02,106.42,"RE07_1002"
2021-07-18 11:56:52,116.32,107.08,142.65,"RE07_1002"
2021-07-18 11:58:50,112.68,315.14,109.71,"RE07_1002"
2021-09-12 09:45:29,121.29,133.27,110.04,"RE07_1002"
2021-09-12 09:47:27,122.28,92,153.08,"RE07_1002"
2021-09-12 09:51:26,121.95,126.94,131.93,"RE07_1002"
2021-09-12 09:57:16,108.07,123.28,136.28,"RE07_1002"
2021-09-12 10:03:18,104.12,114.66,115.99,"RE07_1002"
2021-09-12 10:05:16,157.12,164.9,117.31,"RE07_1002"
2021-09-12 10:11:07,123.28,121.95,135.94,"RE07_1002"
2021-09-12 10:15:05,120.29,127.93,109.38,"RE07_1002"
2021-09-12 10:17:03,114.99,120.29,139.29,"RE07_1002"
2021-09-12 10:20:51,111.36,111.36,132.6,"RE07_1002"
2021-09-12 10:24:50,108.4,110.7,130.93,"RE07_1002"
2021-09-12 10:32:46,95.27,110.37,117.64,"RE07_1002"
2021-09-12 10:38:37,132.27,150.72,131.6,"RE07_1002"
2021-11-05 10:33:02,208.2,259.88,227.12,"RE07_1002"
2021-11-05 10:38:53,192.9,290.57,210.56,"RE07_1002"
2021-11-05 10:44:48,298.44,256.89,244.94,"RE07_1002"
2021-11-05 10:50:39,192.9,270.68,207.01,"RE07_1002"
2021-11-05 10:52:37,184.08,268.88,177.62,"RE07_1002"
2021-11-05 10:54:35,555.73,356.27,661.75,"RE07_1002"
2021-11-05 11:00:37,236.61,304.5,253.31,"RE07_1002"
2021-11-05 11:02:35,184.68,259.29,201.72,"RE07_1002"
2021-11-05 11:08:27,220.6,255.69,222.37,"RE07_1002"
2021-11-05 11:12:24,227.12,297.84,247.93,"RE07_1002"
2021-11-05 11:18:15,219.42,276.1,235.42,"RE07_1002"
2021-11-05 11:20:13,226.53,293.59,220.6,"RE07_1002"
2021-11-05 11:24:15,240.19,337.96,253.9,"RE07_1002"
2021-11-05 11:26:13,225.34,324.55,240.78,"RE07_1002"
2021-11-05 11:30:10,252.7,285.75,246.74,"RE07_1002"
2021-11-05 11:32:08,228.31,281.52,234.23,"RE07_1002"
2021-11-05 11:36:02,215.87,272.48,211.15,"RE07_1002"
2021-11-05 11:38:00,181.15,273.09,182.32,"RE07_1002"
2021-11-05 11:39:58,981.37,416.66,686.19,"RE07_1002"
2021-11-05 11:45:44,199.36,240.19,192.31,"RE07_1002"
2021-11-05 11:47:42,559.87,266.49,201.72,"RE07_1002"
2021-11-05 11:49:40,491.54,745.32,683.85,"RE07_1002"
