sample_id,species_id,leaf_length_cm,leaf_diameter_cm
VZ06,9000,2.5,0.063
VZ06,9000,2.6,0.06
VZ06,9000,1.1,0.049
VZ06,9000,1.4,0.074
VZ06,9000,1.9,0.06
VZ06,9000,1.5,0.068
VZ06,9000,1.5,0.06
VZ06,9000,0.9,0.058
VZ06,9000,3.1,0.063
VZ06,9000,2,0.075
DK30,2011,1.3,0.099
DK30,2011,0.9,0.097
DK30,2011,1,0.101
DK30,2011,0.95,0.095
DK30,2011,0.9,0.091
DK30,2011,0.8,0.11
DK30,2011,0.7,0.095
DK30,2011,0.9,0.094
DK30,2011,1.2,0.1
DK30,2011,0.9,0.087
DK31,2011,1.3,0.096
DK31,2011,1,0.094
DK31,2011,1.4,0.105
DK31,2011,0.9,0.076
DK31,2011,0.7,0.099
DK31,2011,1,0.095
DK31,2011,1.3,0.099
DK31,2011,1.3,0.109
DK31,2011,0.9,0.092
DK31,2011,0.5,0.097
DK32,2011,0.6,0.086
DK32,2011,1,0.094
DK32,2011,0.9,0.091
DK32,2011,0.65,0.085
DK32,2011,0.4,0.088
DK32,2011,1,0.105
DK32,2011,0.8,0.098
DK32,2011,0.8,0.095
DK32,2011,0.8,0.094
DK32,2011,0.9,0.087
DK33,2011,0.8,0.09
DK33,2011,1,0.087
DK33,2011,1.2,0.097
DK33,2011,1.5,0.099
DK33,2011,1,0.099
DK33,2011,1,0.091
DK33,2011,1.1,0.093
DK33,2011,0.8,0.099
DK33,2011,0.8,0.098
DK33,2011,0.9,0.096
DK34,2011,0.5,0.095
DK34,2011,0.75,0.104
DK34,2011,0.6,0.099
DK34,2011,0.8,0.1
DK34,2011,0.6,0.103
DK34,2011,0.7,0.081
DK34,2011,0.4,0.1
DK34,2011,0.5,0.098
DK34,2011,0.4,0.095
DK34,2011,0.5,0.098
BS07,9000,1.8,0.053
BS07,9000,1.9,0.051
BS07,9000,1.4,0.047
BS07,9000,1.9,0.055
BS07,9000,2.4,0.045
BS07,9000,1.75,0.041
BS07,9000,1.4,0.04
BS07,9000,1.7,0.037
BS07,9000,1.8,0.039
BS07,9000,2.1,0.04
DK35,2011,1.1,0.075
DK35,2011,0.7,0.077
DK35,2011,0.8,0.089
DK35,2011,0.6,0.075
DK35,2011,0.7,0.088
DK35,2011,0.7,0.076
DK35,2011,0.8,0.073
DK35,2011,0.7,0.074
DK35,2011,1,0.079
DK35,2011,1.1,0.083
DK36,2011,0.5,0.091
DK36,2011,0.7,0.098
DK36,2011,0.4,0.088
DK36,2011,0.6,0.094
DK36,2011,0.5,0.093
DK36,2011,0.6,0.098
DK36,2011,0.4,0.094
DK36,2011,0.8,0.094
DK36,2011,0.45,0.097
DK36,2011,0.5,0.087
DK37,2011,0.8,0.097
DK37,2011,0.5,0.076
DK37,2011,0.7,0.089
DK37,2011,1,0.098
DK37,2011,1,0.096
DK37,2011,0.8,0.103
DK37,2011,0.65,0.087
DK37,2011,0.8,0.096
DK37,2011,0.55,0.094
DK37,2011,0.7,0.086
DK38,2011,0.6,0.098
DK38,2011,0.7,0.075
DK38,2011,0.8,0.098
DK38,2011,0.5,0.091
DK38,2011,0.4,0.085
DK38,2011,0.45,0.09
DK38,2011,0.7,0.086
DK38,2011,0.5,0.096
DK38,2011,0.3,0.08
DK38,2011,0.4,0.07
DK39,2011,0.7,0.083
DK39,2011,0.4,0.068
DK39,2011,0.5,0.098
DK39,2011,0.65,0.089
DK39,2011,0.5,0.087
DK39,2011,0.8,0.07
DK39,2011,0.6,0.092
DK39,2011,0.4,0.096
DK39,2011,1,0.095
DK39,2011,0.9,0.095
