date,sample_id,species,species_id
6/19/2021,BD04,Juniperus ashei,1022
6/19/2021,BD05,Diospyros texana,1000
6/19/2021,BD06,Cotinus obovatus,1094
6/19/2021,BD07,Cercis canadensis,2009
9/10/2021,ME10,Diospyros texana,1000
9/10/2021,ME11,Condalia hookeri,2003
9/10/2021,ME12,Rhus microphylla,2006
9/10/2021,ME13,Prosopis glandulosa,1113
9/10/2021,ME14,Rhus microphylla,2006
9/10/2021,ME15,Condalia hookeri,2003
9/10/2021,ME16,Senegalia wrightii,2005
9/10/2021,ME17,Rhus microphylla,2006
9/10/2021,ME18,Prosopis glandulosa,1113
9/10/2021,ME19,Ziziphus obtusifolia,2007
10/31/2021,DP18,Juniperus pinchotii,2011
10/31/2021,DP19,Juniperus pinchotii,2011
10/31/2021,DP20,Rhus trilobata,2012
10/31/2021,DP21,Rhus microphylla,2006
10/31/2021,DP22,Ziziphus obtusifolia,2007
10/31/2021,DP23,Rhus trilobata,2012
10/31/2021,DP24,Rhus trilobata,2012
10/31/2021,DP25,Rhus trilobata,2012
10/31/2021,DP26,Juniperus pinchotii,2011
10/31/2021,DP27,Juniperus pinchotii,2011
10/31/2021,DP28,Prosopis glandulosa,1113
10/31/2021,DP29,Prosopis glandulosa,1113
